"ID","구분","업무영역","요구사항","상세","우선순위","근거자료","프로토타입 반영상태"
"NAV-001","기능","메뉴/권한","다단계 사이드바","사이드바는 1차, 2차, 3차, 4차 메뉴까지 확장 가능해야 한다.","P0","Notion 피드백","미반영"
"NAV-002","기능","메뉴/권한","작업자/관리자 모드","작업자와 관리자는 접근 가능한 화면과 메뉴가 분리되어야 한다.","P0","기존 프로토타입","일부 반영"
"MST-001","기능","기준정보","차량/차종 마스터","차량명, 코드명, 제조사, 분류, 연식, 별칭을 표준화해 견적, 작업, 보증서, 필름 재단에 연결한다.","P0","필름 재단.html, 베스트단가표.html","일부 반영"
"MST-002","기능","기준정보","필름 재단 마스터","차종별 필름 재단 가로/세로 치수와 비고를 관리하고 차종 선택 시 자동 표시한다.","P0","필름 재단.html","일부 반영"
"MST-003","기능","기준정보","거래처 마스터","매출처, 매입처, 보험사, 카드사, 협력업체를 통합 관리한다.","P0","매입.html, 메모.html, 스케줄.html","일부 반영"
"MST-004","기능","기준정보","썬팅 상품 마스터","브랜드, 시리즈, 등급, 농도, IRR, TSER, 가격을 관리한다.","P0","썬팅.html","일부 반영"
"MST-005","기능","기준정보","상품 마스터","상품은 작업용, 판매용, 공용으로 구분하고 재고, 창고위치, 매입단가, 판매단가를 관리한다.","P0","사용자 추가 요청, 판매관리 화면","일부 반영"
"MST-006","기능","기준정보","상품 판매 가능 여부","작업 투입 전용 상품은 판매 선택에서 제외하고 판매용/공용 상품만 판매 등록에 노출한다.","P0","사용자 추가 요청","일부 반영"
"MST-007","기능","기준정보","상품 엑셀 양식 다운로드","상품 일괄등록을 위한 엑셀/CSV 양식을 다운로드할 수 있어야 한다.","P0","사용자 추가 요청","일부 반영"
"MST-008","기능","기준정보","상품 엑셀 일괄등록","엑셀에서 복사한 상품 데이터를 붙여넣거나 파일 업로드로 일괄 등록할 수 있어야 한다.","P0","사용자 추가 요청","일부 반영"
"MST-009","기능","기준정보","상품 일괄등록 검증","상품코드 중복, 필수값 누락, 숫자 형식, 상품용도, 판매가능 값, 재고 수량을 검증한다.","P0","사용자 추가 요청","일부 반영"
"PRC-001","기능","단가/견적","단가표 통합 조회","베스트 유리 단가, 작업 단가, 썬팅 단가, 필름 재단 정보를 하나의 화면에서 조회한다.","P0","베스트단가표.html, 썬팅.html, 필름 재단.html","일부 반영"
"PRC-002","기능","단가/견적","견적 자동 제안","차종과 작업내역 선택 시 부품 단가, 작업 단가, 썬팅 단가, 필름 재단 정보를 추천한다.","P1","베스트단가표.html, 썬팅.html","미반영"
"PRC-003","기능","단가/견적","단가 이력 관리","단가 변경 시 적용 시작일과 종료일 기준으로 과거 산정 근거를 유지한다.","P1","실무 운영 필요","미반영"
"PRC-004","기능","기준정보/단가관리","기준정보 및 단가관리 화면","차량용 유리 단가, 썬팅 필름 단가, 차종별 재단 정보를 기준정보 화면에서 통합 관리한다.","P0","사용자 제공 화면 캡처","미반영"
"PRC-005","기능","기준정보/단가관리","단가관리 탭 분리","단가관리 화면은 유리/몰딩 단가표, 썬팅 필름 단가표, 차종별 재단 정보 탭으로 분리한다.","P0","사용자 제공 화면 캡처","미반영"
"PRC-006","기능","기준정보/단가관리","유리/몰딩 단가표 컬럼","유리/몰딩 단가표는 제조사, 차종, 구분, 옵션/사양, 순정부품가, 비품가, 몰딩타입, 몰딩단가, 관리 액션을 표시한다.","P0","사용자 제공 화면 캡처, 베스트단가표.html","미반영"
"PRC-007","기능","기준정보/단가관리","단가관리 필터","제조사, 차종 검색, 구분 필터와 초기화/조회 버튼을 제공한다.","P0","사용자 제공 화면 캡처","미반영"
"PRC-008","기능","기준정보/단가관리","단가관리 엑셀 다운로드","현재 조회 조건의 단가표를 엑셀로 다운로드할 수 있어야 한다.","P0","사용자 제공 화면 캡처","미반영"
"PRC-009","기능","기준정보/단가관리","단가 신규 등록","관리자가 단가 항목을 신규 등록하고 수정/삭제할 수 있어야 한다.","P0","사용자 제공 화면 캡처","미반영"
"PRC-010","기능","기준정보/단가관리","단가표 페이지네이션","단가 목록은 총 건수, 현재 범위, 페이지 번호, 이전/다음 이동을 제공한다.","P1","사용자 제공 화면 캡처","미반영"
"WRK-001","기능","작업관리","작업 등록","작업일, 예약일, 고객, 차량번호, 차종, 거래처, 보험사, 작업구분, 작업내역, 담당자를 등록한다.","P0","기존 프로토타입, 사용자 피드백","일부 반영"
"WRK-002","기능","작업관리","작업 상세","작업 하나를 기준으로 차량, 고객, 견적, 보증서, 결제, 첨부, 메모를 한 화면에서 확인한다.","P0","기존 프로토타입","일부 반영"
"WRK-003","기능","작업관리","작업 일정 관리","예약, 입고, 작업완료, 출고 상태를 일정 화면에서 관리한다.","P1","스케줄.html","일부 반영"
"WRK-004","기능","작업관리","견적 기반 작업 자동 생성","견적 등록 또는 수정 시 작업일/시간/방문방식/담당자를 입력하면 작업 목록과 캘린더에 예정 작업을 자동 생성한다. 별도 작업 등록은 견적 없는 현장 접수나 긴급 작업 예외 플로우로 사용한다.","P0","사용자 피드백","일부 반영"
"WRK-005","기능","작업관리","캘린더 작업 일정 이동","작업 캘린더에서 작업 카드를 길게 선택해 다른 시간 또는 날짜로 이동할 수 있다. 완료된 작업을 이동할 때는 '완료된 작업입니다. 일정을 변경할까요?' 확인 모달을 표시하고 취소/일정변경 버튼을 제공한다.","P0","사용자 피드백","일부 반영"
"DOC-001","기능","보증서","보증서 목록","보증서 목록은 구분, 작업일, 차종, 차량번호, 작업내역, 품번, 썬팅, 보증서 상태, 상세를 표시한다.","P0","Notion 피드백, 썬팅보증서.html","반영"
"DOC-002","기능","보증서","보증서 등록/발급","작업 정보와 고객 입력값을 기반으로 보증서를 생성하고 발급 상태를 관리한다.","P0","Notion 피드백, 썬팅보증서.html","반영"
"DOC-003","기능","보증서","보증서 PDF 보기/출력","입력값이 반영된 A4 보증서를 미리보기하고 PDF 저장 또는 인쇄할 수 있어야 한다.","P0","사용자 피드백, 썬팅보증서.html","반영"
"DOC-004","기능","문서/출력","문서 양식 마스터","견적서, 거래명세서, 자동차 부품 대금 청구서, 보증서 등 출력물 양식을 마스터로 관리한다.","P0","첨부자료 이미지, Google Sheet 첨부자료","미반영"
"DOC-005","기능","문서/출력","HTML 문서 양식 등록","첨부자료가 HTML로 제공될 경우 HTML/CSS 기반 문서 템플릿으로 등록하고 데이터 필드를 매핑한다.","P1","사용자 추가 요청","미반영"
"DOC-006","기능","문서/출력","이미지 기반 문서 재현","HTML이 없는 경우 첨부 이미지 기준으로 A4 문서 양식을 재현하고 인쇄/PDF 기준으로 검수한다.","P1","첨부자료 이미지","미반영"
"DOC-007","기능","문서/출력","도장 마스터","회사 도장, 담당자 도장 등 출력물에 사용할 도장 이미지를 미리 등록하고 관리한다.","P0","사용자 추가 요청","미반영"
"DOC-008","기능","문서/출력","도장 선택 및 위치 지정","사용자가 문서 출력 전 원하는 도장을 선택하고 문서 내 위치, 크기, 페이지를 지정할 수 있어야 한다.","P0","사용자 추가 요청","미반영"
"DOC-009","기능","문서/출력","문서별 기본 도장 위치","견적서, 거래명세서, 청구서, 보증서마다 기본 도장 위치를 저장하고 필요 시 사용자가 조정한다.","P1","사용자 추가 요청","미반영"
"DOC-010","기능","문서/출력","출력물 데이터 바인딩","견적/작업/거래처/품목/금액 데이터를 문서 양식의 지정 위치에 자동 반영한다.","P0","첨부자료 이미지, Google Sheet","미반영"
"DOC-011","비기능","문서/출력","도장 권한 및 이력","도장 등록, 변경, 출력 사용은 관리자 권한으로 제한하고 사용 이력을 남긴다.","P1","보안 요구사항","미반영"
"CLM-001","기능","보험/청구","보험 청구 계산 규칙","보험사, 입고방식, 국산/수입 구분, 센터가, 할인율, VAT에 따라 청구 금액을 계산한다.","P1","뽀.html","미반영"
"CLM-002","기능","보험/청구","자재/공임 항목 계산","실리콘, 부자재, 몰딩, 센서, 공임, ADAS 등 청구 항목별 금액을 계산한다.","P1","뽀.html","미반영"
"CLM-003","기능","보험/청구","계산 근거 보존","보험 청구 산식과 적용 단가가 변경되어도 과거 청구 건의 계산 근거를 보존한다.","P1","뽀.html","미반영"
"PAY-001","기능","정산/결제","대금결제리스트","기준월, 거래처, 결제항목, 금액, 반복 여부, 종료일, 결제 상태를 관리한다.","P0","Notion 피드백, 스케줄.html","미반영"
"PAY-002","기능","정산/결제","반복 결제 자동 반영","반복 주기 없음, 매월, 3개월, 6개월, 1년과 종료일 기준으로 월별 결제 예정 건을 자동 생성한다.","P0","Notion 피드백, 스케줄.html","미반영"
"PAY-003","기능","정산/결제","월별 결제 캘린더","월 단위로 결제 예정 금액, 자동/수기 구분, 예상 잔고를 확인한다.","P1","스케줄.html","미반영"
"PAY-004","기능","정산/결제","대금결제 운영 대시보드","대금결제 화면은 기준월, KPI, 결제 캘린더, 상세 리스트, 바로가기, 메모를 한 화면에서 제공한다.","P0","사용자 제공 스티치 AI 화면","일부 반영"
"PAY-005","기능","정산/결제","기준월 이동","기준월은 이전/다음 버튼으로 월 이동이 가능하고 현재 선택 월을 명확히 표시한다.","P0","사용자 제공 스티치 AI 화면","미반영"
"PAY-006","기능","정산/결제","결제 상태/거래처 필터","상태 전체/결제예정/결제완료/부분결제/연체와 거래처명 검색으로 결제 내역을 조회한다.","P0","사용자 제공 스티치 AI 화면","미반영"
"PAY-007","기능","정산/결제","결제 KPI 요약","총 결제 예정액, 결제 완료액, 미결제/연체 금액과 전월 대비 증감을 표시한다.","P0","사용자 제공 스티치 AI 화면","미반영"
"PAY-008","기능","정산/결제","결제 캘린더 일자 표시","결제 예정일이 있는 날짜에 표시점을 제공하고 선택 일자의 예정 건수와 합계 금액을 요약한다.","P0","사용자 제공 스티치 AI 화면","미반영"
"PAY-009","기능","정산/결제","결제 상세 리스트","선택 기준일 또는 기준월의 결제일자, 거래처, 결제항목, 금액, 상태, 관리 액션을 리스트로 표시한다.","P0","사용자 제공 스티치 AI 화면","미반영"
"PAY-010","기능","정산/결제","결제 상태 배지","결제예정, 결제완료, 부분결제, 연체 상태를 색상 배지로 구분한다.","P0","사용자 제공 스티치 AI 화면","미반영"
"PAY-011","기능","정산/결제","결제 리스트 페이지네이션","결제 상세 리스트는 현재 표시 범위, 전체 건수, 이전/다음 이동을 제공한다.","P1","사용자 제공 스티치 AI 화면","미반영"
"PAY-012","기능","정산/결제","인쇄/엑셀 다운로드","대금결제 스케줄은 인쇄와 엑셀 다운로드를 지원한다.","P1","사용자 제공 스티치 AI 화면","미반영"
"PAY-013","기능","정산/결제","업무 바로가기","보험 청구 사이트, 부품 주문 사이트, 세금계산서 보관함 등 결제 관련 바로가기를 관리한다.","P2","사용자 제공 스티치 AI 화면, 정보.html","미반영"
"PAY-014","기능","정산/결제","결제 업무 메모","결제 관련 특이사항이나 메모를 기준월 또는 날짜별로 기록한다.","P2","사용자 제공 스티치 AI 화면, 참고.html","미반영"
"PUR-001","기능","매입/지출","매입/지출 관리","월별 매입과 지출을 고정, 변동, 유리, 보험료, 대출 등으로 분류한다.","P0","매입.html","미반영"
"PUR-002","기능","매입/지출","계산서/결제 상태 관리","매입 건별 계산서 여부와 결제 여부를 관리한다.","P0","매입.html","미반영"
"ARAP-001","기능","미결관리","거래처 미결 리스트","거래처별 미결 금액, 계산서 여부, 지급 여부, 후속 메모를 관리한다.","P0","메모.html","미반영"
"ARAP-002","기능","미결관리","후속 메모 이력","미결 건에 대한 통화, 지급 예정, 계산서 처리 등 후속 메모를 이력으로 남긴다.","P1","메모.html","미반영"
"CARD-001","기능","카드매출","카드매출 목록","작업일, 결제일, 업체, 차량번호, 결제금액, 카드사, 입금일자, 입금금액, 수수료, 수수료율을 관리한다.","P0","Notion 피드백","미반영"
"CARD-002","기능","카드매출","수수료 자동 계산","입금금액 입력 시 결제금액 대비 수수료와 수수료율을 자동 계산한다.","P0","Notion 피드백","미반영"
"CARD-003","기능","카드매출","카드 입금 일괄 처리","체크박스 선택 후 여러 카드매출 건의 입금일자와 입금금액을 일괄 처리한다.","P0","Notion 피드백","미반영"
"SALE-001","기능","판매관리","판매관리 OMS 화면","판매관리는 등록 폼보다 주문, 재고, 출고/입고, 결제 상태 목록을 우선 노출한다.","P0","Flextudio OMS 참고, 사용자 피드백","반영"
"SALE-002","기능","판매관리","판매/매입 처리 필터","전체, 상품판매, 매입입고, 결제대기, 출고/입고대기 필터를 제공한다.","P0","Flextudio OMS 참고","반영"
"SALE-003","기능","판매관리","판매 주문 처리 테이블","주문번호, 접수/거래처, 품목/품번, 주문/재고, 금액/마진, 결제, 출고/입고, 처리 액션을 표시한다.","P0","사용자 피드백","반영"
"SALE-004","기능","판매관리","재고/입고 알림","부족, 확인필요, 최소수량 이하 품목을 판매관리 화면에서 별도 알림으로 보여준다.","P0","판매관리 화면 개선","반영"
"SALE-005","기능","판매관리","작업용 상품 사용 처리","작업에 쓰는 상품은 작업 등록/작업원가와 연결하고 판매매출과는 분리한다.","P0","사용자 추가 요청","일부 반영"
"SALE-006","기능","판매관리","판매용 상품 판매 처리","실제로 판매하는 상품은 판매관리에서 매출, 결제, 출고, 미결과 연결한다.","P0","사용자 추가 요청","일부 반영"
"SALE-007","기능","판매관리","공용 상품 처리","작업에도 쓰고 판매도 가능한 상품은 사용처별 이력을 분리해 관리한다.","P0","사용자 추가 요청","일부 반영"
"ACC-001","기능","회계","계정코드 마스터","계정코드, 계정과목, 사용 용도, 실제 예시를 관리한다.","P1","회계.html","미반영"
"ACC-002","기능","회계","거래 분류 추천","거래처, 항목, 메모를 기반으로 추천 계정코드를 제안한다.","P1","회계.html","미반영"
"ACC-003","기능","회계","세무 자료 내보내기","월별 매출/매입, 카드매출, 결제내역, 계정코드 매핑, 미결 리스트를 내보낸다.","P2","회계.html, 참고.html","미반영"
"SEC-001","기능","보안","외부 사이트 링크 관리","카드사, 보험, 부품, 은행, ERP 등 외부 사이트 링크를 관리한다.","P1","정보.html","미반영"
"SEC-002","비기능","보안","계정정보 보안 저장","외부 사이트 ID/PW는 암호화 저장, 권한별 접근, 마스킹, 조회 이력을 적용한다.","P0","정보.html","미반영"
"SEC-003","비기능","보안","감사 로그","금액, 계정정보, 보증서, 결제 상태 변경은 변경자와 변경 전후 값을 기록한다.","P1","실무 운영 필요","미반영"
"KNB-001","기능","지식관리","업무 참고 노트","회계사 답변, 운영 기준, 터미널 비용 정책 등 참고 사항을 검색 가능한 노트로 관리한다.","P2","참고.html","미반영"
"KNB-002","기능","파일/첨부","파일/첨부 관리","보증서 양식, 도장/로고 이미지, 외부 자료, 스크린샷을 업무 데이터에 첨부한다.","P2","resources 폴더","미반영"
"IMP-001","기능","데이터 이관","기존 HTML/엑셀 자료 가져오기","단가표, 썬팅 가격표, 필름 재단, 매입, 회계, 미결 리스트를 파일 업로드로 가져온다.","P1","BOB0 폴더","미반영"
"IMP-002","기능","데이터 이관","가져오기 데이터 검증","금액, 날짜, 차종, 거래처, 필수값, 중복 행을 검증하고 오류 행을 표시한다.","P1","BOB0 폴더","일부 반영"
"UIUX-001","UI/UX","공통","운영 화면 정보 우선순위","관리자 운영 화면은 입력 폼보다 목록, 상태, 미처리 건, 알림을 먼저 보여준다.","P0","UI/UX 검토, 판매관리 피드백","반영"
"UIUX-002","UI/UX","공통","밀도 높은 관리자 화면","반복 업무 화면은 마케팅형 카드보다 테이블, 필터, 빠른 처리 버튼 중심으로 구성한다.","P0","UI/UX 검토","일부 반영"
"UIUX-003","UI/UX","공통","상태 배지 일관성","작업, 판매, 출고, 결제, 보증서, 계산서 상태는 색상 배지와 짧은 문구로 일관되게 표현한다.","P0","UI/UX 검토","일부 반영"
"UIUX-004","UI/UX","공통","빠른 통합 검색","차량번호, 고객명, 거래처, 품번, 차종, 작업번호를 한 검색창에서 찾을 수 있어야 한다.","P0","UI/UX 검토","일부 반영"
"UIUX-005","UI/UX","공통","행 클릭 상세 진입","목록 행 클릭 시 상세 패널 또는 드로어가 열리고 목록 화면을 벗어나지 않고 상태를 수정한다.","P1","UI/UX 검토","일부 반영"
"UIUX-006","UI/UX","공통","반응형 운영 화면","현장 작업자 화면은 모바일에서도 핵심 상태와 다음 액션이 먼저 보이도록 구성한다.","P1","UI/UX 검토","일부 반영"
"UIUX-007","UI/UX","공통","빈 상태 액션 제공","데이터가 없을 때 등록, 가져오기, 필터 초기화 등 다음 행동을 바로 제공한다.","P1","UI/UX 검토","일부 반영"
"UIUX-008","UI/UX","공통","플로우 중심 화면 전환","페이지를 과하게 나누지 않고 견적, 작업, 판매, 결제 상세에서 다음 업무 단계로 자연스럽게 전환한다.","P0","사용자 UI/UX 피드백","일부 반영"
"UIUX-009","UI/UX","공통","목록과 상세 역할 분리","목록 화면은 데이터 검색/필터 중심, 상세 화면은 업무 처리와 다음 액션 중심으로 구성한다.","P0","사용자 UI/UX 피드백","일부 반영"
"UIUX-010","UI/UX","공통","기준정보의 보조 노출","차량, 품목, 거래처, 단가 같은 기준정보는 업무 화면에서 검색/추천으로 노출하고 마스터 화면에서는 전체 목록을 관리한다.","P0","사용자 UI/UX 피드백","일부 반영"
"UIUX-011","UI/UX","공통","업무 상세 내 후속 액션","작업 상세에서 재고 차감, 보증서 발급, 청구/전표 생성, 결제 확인을 바로 시작할 수 있어야 한다.","P0","사용자 UI/UX 피드백","일부 반영"
"UIUX-012","UI/UX","공통","입력 폼 모달/드로어 원칙","신규 등록이나 상세 입력 폼은 기본 목록 화면에 상시 노출하지 않고 버튼 클릭 시 모달 또는 드로어로 제공한다.","P0","사용자 UI/UX 피드백","일부 반영"
"UIUX-013","UI/UX","공통","목록 화면 입력폼 비노출","목록 화면은 보기, 검색, 필터, 상태 확인, 다음 처리 액션에 집중하고 큰 입력 폼을 상단에 고정 노출하지 않는다.","P0","사용자 UI/UX 피드백","일부 반영"
"UIUX-014","UI/UX","공통","입력 UI 유형 기준","짧은 신규 등록은 모달, 긴 등록/상세 수정은 큰 모달 또는 우측 드로어, 완료/확인은 확인 모달, 출력/도장 조정은 미리보기 모달로 제공한다.","P0","사용자 UI/UX 피드백","일부 반영"
